crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;c1;c2;c3;c4
INGENIERIA CIVIL INDUSTRIAL;783;653;685;672;735;-73.1648703;-36.9787591;38;20.201244;1;0;1;0;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;799;705;713;686;756;-73.1648703;-36.9787591;36;20.201244;1;0;1;0;0;1;0;0;0
INGENIERIA CIVIL QUIMICA;688;543;612;534;638;-73.1648703;-36.9787591;36;20.201244;1;0;1;0;0;0;0;1;0
INGENIERIA CIVIL ELECTRICA;605;598;658;601;633;-73.1648703;-36.9787591;21;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL INFORMATICA;603;710;668;651;657;-73.1648703;-36.9787591;19;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;595;571;607;591;609;-73.1648703;-36.9787591;15;20.201244;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL ELECTRICA;719;672;583;630;664;-73.1648703;-36.9787591;9;20.201244;0;1;1;0;0;0;1;0;0
INGENIERIA CIVIL - PLAN COMUN;692;549;572;570;624;-73.1648703;-36.9787591;9;20.201244;0;1;1;0;0;0;0;1;0
INGENIERIA CIVIL METALURGICA;742;574;582;536;667;-73.1648703;-36.9787591;0;20.201244;1;0;1;0;0;0;0;0;1
INGENIERIA CIVIL EN TELECOMUNICACIONES;558;589;565;542;563;-73.1648703;-36.9787591;0;20.201244;0;1;1;0;0;0;0;0;1
INGENIERIA CIVIL MECANICA;754;773;766;688;778;-73.089504;-36.776139;40;7.542787;0;1;0;1;0;1;0;0;0
INGENIERIA CIVIL BIOMEDICA;661;657;671;595;655;-73.089504;-36.776139;37;7.542787;1;0;0;1;0;0;1;0;0
INGENIERIA CIVIL BIOMEDICA;620;571;728;594;657;-73.089504;-36.776139;37;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL QUIMICA;750;705;719;730;744;-73.089504;-36.776139;36;7.542787;1;0;0;1;0;1;0;0;0
INGENIERiA CIVIL DE MINAS;764;616;696;646;702;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
INGENIERIA CIVIL INDUSTRIAL;744;623;725;617;698;-73.089504;-36.776139;36;7.542787;0;1;0;1;0;0;1;0;0
